Compound,Value
Mn,0.8319949999999999
Al,0.24184499999999998
LiSnS2,0.28300000000000003
CsCl,0.28082
Li,0.68477
Na,0.5197999999999999
C,0
Cu,0.75623
SnS2,0.01528500000000002
BaCl2,0.30561000000000005
Ca,0.71688
NaH,1.490305
LiF,1.3838450000000002
KH,1.2564950000000001
LiCoO2,1.5770049999999998
ZnS,0.3072450000000001
CuI,0.060145000000000004
LiH,2.146945
CoO2,0.10687500000000003
RbH,0.7611600000000001
Mg,0.25236000000000003
Ni,1.3296099999999997
LiCl,0.5037100000000001
CsH,0.871385
