,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant,Structure
0,True,mp-1038816,CeMg,Monoclinic,C2/m,12,4,0.016450333333331003,-0.019941892500000002,False,104.90841335556104,5.205063829229399,0.0,False,True,FM,1.654745199999999,,,,,,,,,,,,,,,,"# generated using pymatgen
data_CeMg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.85463305
_cell_length_b   5.85463305
_cell_length_c   5.94370008
_cell_angle_alpha   69.44607109
_cell_angle_beta   69.44607109
_cell_angle_gamma   33.60782411
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CeMg
_chemical_formula_sum   'Ce2 Mg2'
_cell_volume   104.90841336
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  1  0.14302839  0.14302839  0.55532191  1
  Ce  Ce1  1  0.85697161  0.85697161  0.44467809  1
  Mg  Mg2  1  0.37100119  0.37100119  0.93419165  1
  Mg  Mg3  1  0.62899881  0.62899881  0.06580835  1
"
1,True,mp-1039467,Ca2Mg,Monoclinic,C2/m,12,6,0.013408672499999,-0.045340510833333,False,210.28218395372645,1.6497980800563021,0.0,False,True,NM,0.0019037,,,,,,,,,,,,,,,,"# generated using pymatgen
data_Ca2Mg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.31216361
_cell_length_b   7.31216361
_cell_length_c   8.13958029
_cell_angle_alpha   74.19022980
_cell_angle_beta   74.19022980
_cell_angle_gamma   30.24195174
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ca2Mg
_chemical_formula_sum   'Ca4 Mg2'
_cell_volume   210.28218395
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.84062400  0.84062400  0.09736900  1
  Ca  Ca1  1  0.13848600  0.13848600  0.44542800  1
  Ca  Ca2  1  0.86151400  0.86151400  0.55457200  1
  Ca  Ca3  1  0.15937600  0.15937600  0.90263100  1
  Mg  Mg4  1  0.51354100  0.51354100  0.22047500  1
  Mg  Mg5  1  0.48645900  0.48645900  0.77952500  1
"
2,True,mp-1094601,Li2Mg,Monoclinic,C2/m,12,6,0.011001634444444,-0.023806947777777,False,122.38502674272685,1.036254303715672,0.0,False,True,NM,1e-07,,,,,,,,,,,,,,,,"# generated using pymatgen
data_Li2Mg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.85398557
_cell_length_b   5.85398557
_cell_length_c   7.27964494
_cell_angle_alpha   74.00401148
_cell_angle_beta   74.00401148
_cell_angle_gamma   30.79336758
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li2Mg
_chemical_formula_sum   'Li4 Mg2'
_cell_volume   122.38502674
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.80694103  0.80694103  0.63641477  1
  Li  Li1  1  0.14212651  0.14212651  0.96650175  1
  Li  Li2  1  0.85787349  0.85787349  0.03349825  1
  Li  Li3  1  0.19305897  0.19305897  0.36358523  1
  Mg  Mg4  1  0.52480881  0.52480881  0.70315275  1
  Mg  Mg5  1  0.47519119  0.47519119  0.29684725  1
"
3,True,mp-1094568,LiMg,Monoclinic,C2/m,12,4,0.020893197500000002,-0.031319675833332006,False,83.812288309167,1.238128792846922,0.0,False,True,NM,0.0007467,,,,,,,,,,,,,,,,"# generated using pymatgen
data_LiMg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.90261616
_cell_length_b   5.90261616
_cell_length_c   5.35520670
_cell_angle_alpha   63.83838951
_cell_angle_beta   63.83838951
_cell_angle_gamma   30.32935172
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiMg
_chemical_formula_sum   'Li2 Mg2'
_cell_volume   83.81228831
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.62518100  0.62518100  0.70840500  1
  Li  Li1  1  0.37481900  0.37481900  0.29159500  1
  Mg  Mg2  1  0.87632300  0.87632300  0.79348300  1
  Mg  Mg3  1  0.12367700  0.12367700  0.20651700  1
"
4,True,mp-1185919,MgPb,Monoclinic,C2/m,12,4,0.024581480000000003,-0.002698947499997,False,103.00443775261364,7.464204552749545,0.0,False,True,NM,0.0,,,,,,,,,,,,,,,,"# generated using pymatgen
data_MgPb
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.53184106
_cell_length_b   5.99444792
_cell_length_c   5.29673641
_cell_angle_alpha   74.71421053
_cell_angle_beta   89.99999988
_cell_angle_gamma   72.86689555
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgPb
_chemical_formula_sum   'Mg2 Pb2'
_cell_volume   103.00443775
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.75008055  0.49983990  0.09257000  1
  Mg  Mg1  1  0.49992145  0.00016010  0.49076200  1
  Pb  Pb2  1  0.00513600  0.98973201  0.00110248  1
  Pb  Pb3  1  0.24486600  0.51026899  0.58223052  1
"
5,True,mp-1183089,Ac2Mg,Monoclinic,C2/m,12,6,0.020178464166657,-0.01975081833334,False,234.24154321160074,6.781411421394513,0.0,False,True,NM,1.2444506,,,,,,,,,,,,,,,,"# generated using pymatgen
data_Ac2Mg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.45917106
_cell_length_b   7.45917106
_cell_length_c   8.27031451
_cell_angle_alpha   73.90419782
_cell_angle_beta   73.90419782
_cell_angle_gamma   32.11746648
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ac2Mg
_chemical_formula_sum   'Ac4 Mg2'
_cell_volume   234.24154321
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ac  Ac0  1  0.85190528  0.85190528  0.57123442  1
  Ac  Ac1  1  0.14809472  0.14809472  0.42876558  1
  Ac  Ac2  1  0.84774264  0.84774264  0.07894438  1
  Ac  Ac3  1  0.15225736  0.15225736  0.92105562  1
  Mg  Mg4  1  0.49683677  0.49683677  0.75683384  1
  Mg  Mg5  1  0.50316323  0.50316323  0.24316616  1
"
6,True,mp-1186484,Pm2Mg,Monoclinic,C2/m,12,6,0.029019379166669003,-0.031030564999997002,False,186.41115438486082,5.5996191113132205,0.0,False,True,FM,1.2751128,,,,,,,,,,,,,,,,"# generated using pymatgen
data_Pm2Mg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.94521979
_cell_length_b   6.94521979
_cell_length_c   7.64435751
_cell_angle_alpha   74.07967850
_cell_angle_beta   74.07967850
_cell_angle_gamma   31.83372065
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Pm2Mg
_chemical_formula_sum   'Pm4 Mg2'
_cell_volume   186.41115438
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pm  Pm0  1  0.84873939  0.84873939  0.56960236  1
  Pm  Pm1  1  0.15126061  0.15126061  0.43039764  1
  Pm  Pm2  1  0.83977418  0.83977418  0.08616666  1
  Pm  Pm3  1  0.16022582  0.16022582  0.91383334  1
  Mg  Mg4  1  0.49537107  0.49537107  0.76372158  1
  Mg  Mg5  1  0.50462893  0.50462893  0.23627842  1
"
7,True,mp-1187012,Sm2Mg,Monoclinic,C2/m,12,6,0.027000998333333002,-0.029345751666667003,False,183.1356864438007,5.894173010209992,0.0,False,True,FM,1.2601233,,,,,,,,,,,,,,,,"# generated using pymatgen
data_Sm2Mg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.91387400
_cell_length_b   6.91387400
_cell_length_c   7.59297048
_cell_angle_alpha   74.14039712
_cell_angle_beta   74.14039712
_cell_angle_gamma   31.75269052
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sm2Mg
_chemical_formula_sum   'Sm4 Mg2'
_cell_volume   183.13568644
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sm  Sm0  1  0.84668094  0.84668094  0.57218439  1
  Sm  Sm1  1  0.15331906  0.15331906  0.42781561  1
  Sm  Sm2  1  0.84027416  0.84027416  0.08425282  1
  Sm  Sm3  1  0.15972584  0.15972584  0.91574718  1
  Mg  Mg4  1  0.49646374  0.49646374  0.75846008  1
  Mg  Mg5  1  0.50353626  0.50353626  0.24153992  1
"
8,True,mp-1185854,MgAu2,Monoclinic,C2/m,12,6,0.022812794666666,-0.44139412666666605,False,108.86285733281933,12.759186821043837,0.0,False,True,NM,3.7e-06,,,,,,,,,,,,,,,,"# generated using pymatgen
data_MgAu2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.35480645
_cell_length_b   5.35480645
_cell_length_c   7.39800291
_cell_angle_alpha   69.66548026
_cell_angle_beta   69.66548026
_cell_angle_gamma   33.41608741
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgAu2
_chemical_formula_sum   'Mg2 Au4'
_cell_volume   108.86285733
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.01849200  0.01849200  0.73179100  1
  Mg  Mg1  1  0.98150800  0.98150800  0.26820900  1
  Au  Au2  1  0.65003500  0.65003500  0.94423000  1
  Au  Au3  1  0.34996500  0.34996500  0.05577000  1
  Au  Au4  1  0.66478400  0.66478400  0.39996400  1
  Au  Au5  1  0.33521600  0.33521600  0.60003600  1
"
9,True,mp-1185840,MgAg2,Monoclinic,C2/m,12,6,0.0173658575,-0.157108741111109,False,110.0884754080868,7.2414141593621775,0.0,False,True,NM,0.0009435,,,,,,,,,,,,,,,,"# generated using pymatgen
data_MgAg2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.51746119
_cell_length_b   5.51746119
_cell_length_c   7.11099345
_cell_angle_alpha   72.12268366
_cell_angle_beta   72.12268366
_cell_angle_gamma   32.46070051
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgAg2
_chemical_formula_sum   'Mg2 Ag4'
_cell_volume   110.08847541
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.47829400  0.47829400  0.78038100  1
  Mg  Mg1  1  0.52170600  0.52170600  0.21961900  1
  Ag  Ag2  1  0.85302700  0.85302700  0.54347500  1
  Ag  Ag3  1  0.14697300  0.14697300  0.45652500  1
  Ag  Ag4  1  0.82005200  0.82005200  0.11769400  1
  Ag  Ag5  1  0.17994800  0.17994800  0.88230600  1
"
